"","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","2.69","6.13","2.49","2.77","3.41","3.12","3.11","2.99","2.83","2.28","2.94","2.55","2.34","2.45","1.85","1.36","1.34","1.19","1.30","0.15","",""
"Albania","184.44","158.14","156.96","151.43","125.46","118.63","106.97","118.96","114.08","104.58","106.57","97.38","96.93","100.40","98.60","78.11","71.35","66.10","48.02","36.10","34.28","30.31"
"Algeria","120.92","125.67","148.41","178.41","177.46","176.70","205.75","260.07","236.70","245.53","203.60","159.85","148.10","149.64","105.92","80.40","70.19","66.38","58.47","50.40","51.33","44.70"
"Andorra","2594.63","2374.06","2158.50","2238.69","2067.00","1982.34","1933.84","2195.12","2133.94","2093.41","2880.04","2735.16","2050.34","1983.79","1486.34","1282.48","1423.15","1235.56","1135.54","985.49","870.83","843.30"
"Angola","37.09","29.06","29.35","35.78","52.23","41.54","50.99","70.80","88.63","79.48","78.95","60.04","81.23","87.28","53.75","37.52","24.31","21.16","14.40","11.42","13.20","7.57"
"Antigua and Barbuda","619.76","545.42","468.42","510.53","441.14","453.79","469.12","486.53","412.48","422.18","406.61","420.42","333.16","350.89","365.26","350.94","355.56","345.92","366.73","326.03","337.40","300.30"
"Argentina","660.37","572.72","615.52","712.63","963.61","822.85","1017.42","837.82","900.03","850.25","725.40","577.82","468.76","409.33","309.18","238.62","200.95","160.69","142.79","121.47","368.26","385.83"
"Armenia","108.84","106.19","68.16","54.23","55.48","60.25","59.03","60.48","52.73","57.50","57.93","53.00","52.85","58.17","49.45","33.47","23.78","15.10","10.98","8.97","9.05","5.76"
"Australia","5364.86","4390.47","4089.49","4186.34","4142.51","3877.93","3780.81","4298.73","3957.46","4325.12","4329.06","3600.12","2929.13","2970.60","2781.62","2289.04","2165.26","1979.16","1598.58","1268.76","1109.17","1175.62"
"Austria","5089.96","4272.09","3941.45","3974.77","3645.20","3408.05","3342.27","3911.28","3778.30","3618.98","3756.44","3475.57","3590.61","3732.00","3260.50","2828.76","2695.67","2590.12","2260.88","1834.39","1680.97","1682.86"
"Azerbaijan","78.75","96.64","50.34","41.24","40.76","44.24","70.24","87.29","82.24","81.96","66.95","58.05","55.05","46.96","33.87","20.78","13.63","8.74","6.65","5.50","5.55","5.58"
"Bahamas","1093.89","1106.51","983.14","941.82","1145.09","823.84","691.38","715.15","699.16","649.18","632.78","640.83","636.59","604.80","534.44","477.78","448.99","425.36","426.73","401.35","395.22","374.19"
"Bahrain","755.82","695.92","596.95","617.19","625.00","682.04","737.61","730.15","724.31","673.64","599.52","564.89","556.68","483.73","442.16","411.11","403.13","371.62","364.84","336.01","314.42","302.09"
"Bangladesh","9.78","9.14","9.43","9.38","8.97","7.87","5.73","5.61","5.22","4.77","4.75","4.35","3.63","3.35","3.24","2.81","2.54","2.67","2.54","2.28","1.82","2.43"
"Barbados","758.10","611.71","526.17","533.88","534.41","545.63","541.78","555.68","642.69","718.36","565.25","596.56","635.99","628.99","568.01","577.76","549.68","556.97","451.92","365.70","338.90","319.61"
"Belarus","347.03","289.27","274.66","241.47","224.39","206.12","214.56","274.22","278.12","233.35","196.51","226.38","181.45","223.47","190.33","154.25","142.19","105.27","80.31","60.75","53.33","43.70"
"Belgium","4407.61","3976.24","3798.75","3965.59","3669.69","3487.70","3393.25","3867.08","3765.05","3597.02","3755.87","3454.79","3539.15","3524.99","3015.47","2644.77","2547.65","2484.46","2086.30","1536.92","1416.19","1378.76"
"Belize","213.44","197.38","204.39","196.70","194.53","204.32","193.26","184.21","172.51","162.35","165.67","161.48","155.55","165.73","136.43","108.77","93.76","88.05","86.90","88.95","83.38","64.09"
"Benin","4.33","3.42","3.65","5.36","4.99","4.94","6.15","7.20","9.28","8.31","7.16","7.59","9.21","8.16","9.14","9.05","8.61","9.11","7.39","5.47","6.28","5.74"
"Bhutan","69.16","104.30","84.84","80.90","77.05","71.87","71.67","59.91","59.23","58.20","56.77","51.87","43.89","39.62","41.60","30.19","29.84","30.45","25.82","26.04","25.43","24.77"
"Bolivia (Plurinational State of)","196.77","178.06","170.03","166.54","145.88","133.48","128.14","111.60","93.10","76.78","69.62","58.76","54.49","45.60","37.50","31.33","28.04","24.14","24.58","23.11","24.33","23.77"
"Bosnia and Herzegovina","472.33","411.63","373.84","368.76","329.43","318.62","297.72","346.35","330.58","305.09","309.12","276.47","278.61","256.02","201.61","153.66","131.95","126.55","111.29","70.86","59.71","54.27"
"Botswana","349.76","263.25","292.08","287.82","336.35","246.03","242.72","273.10","267.43","261.86","255.23","217.93","168.40","196.09","168.11","143.54","148.89","162.91","147.21","113.11","108.63","107.07"
"Brazil","346.70","313.58","346.47","354.74","391.23","342.75","338.49","446.50","435.32","413.54","457.49","402.39","317.72","308.45","255.19","207.73","159.68","125.61","107.27","104.13","110.39","129.33"
"Brunei Darussalam","646.62","612.03","636.92","717.19","605.29","648.01","695.97","727.97","755.82","790.31","787.21","723.36","659.87","699.41","606.71","554.71","538.25","513.10","443.06","394.79","385.86","427.06"
"Bulgaria","653.42","512.65","412.85","397.64","343.10","310.04","291.46","352.49","309.66","283.80","300.94","267.77","247.13","252.37","201.38","163.76","159.50","138.53","118.84","87.91","67.18","56.29"
"Burkina Faso","24.38","23.54","17.17","16.58","18.65","15.89","9.20","12.48","12.29","7.81","9.80","8.19","9.91","8.46","7.40","6.54","5.42","6.89","3.57","3.03","2.53","2.40"
"Burundi","5.94","5.45","5.77","5.44","5.73","6.07","7.00","7.18","3.72","6.36","8.21","4.42","4.24","3.04","4.21","3.93","3.12","3.04","1.55","1.91","2.29","2.02"
"Cote d'Ivoire","26.90","31.31","22.25","20.63","19.71","17.05","15.62","16.53","14.00","12.55","9.55","9.58","10.89","10.02","8.36","7.08","6.59","6.92","6.03","5.27","4.58","5.19"
"Cabo Verde","169.27","128.36","109.06","110.48","102.78","91.74","91.80","103.66","104.73","100.32","101.34","90.38","91.43","85.92","89.24","73.73","65.36","65.68","61.23","49.66","45.84","41.99"
"Cambodia","32.54","30.14","27.83","25.01","20.99","17.09","15.74","13.61","14.41","13.37","11.27","10.67","8.95","7.60","6.12","5.18","5.80","5.63","5.42","4.78","3.83","3.91"
"Cameroon","8.08","9.35","6.26","5.60","2.09","5.22","5.09","9.62","7.49","9.18","8.58","5.62","6.48","8.13","7.46","7.63","7.36","7.90","8.38","6.96","5.52","4.52"
"Canada","4717.93","4177.38","3556.15","3540.22","3425.60","3259.96","3313.80","3701.35","3888.14","3904.98","3808.54","3552.80","3066.90","3132.80","2938.06","2630.68","2403.76","2130.67","1866.72","1556.97","1496.63","1458.25"
"Central African Republic","5.98","5.45","3.58","3.08","3.02","2.23","1.60","2.81","3.46","3.27","2.14","2.65","3.32","3.87","5.10","4.40","3.48","4.70","4.56","3.60","3.55","3.97"
"Chad","6.16","5.99","4.76","4.60","4.65","5.75","7.45","12.46","11.29","9.21","8.16","7.66","7.51","7.47","8.29","7.15","9.54","9.99","5.86","5.36","4.18","3.95"
"Chile","844.40","720.85","697.30","740.61","689.32","585.77","544.16","548.99","563.99","518.40","469.06","410.14","345.97","316.31","274.65","236.47","197.06","168.69","133.78","121.21","118.90","127.70"
"China","362.54","319.28","302.07","284.79","249.70","231.70","236.98","212.05","188.14","159.02","128.80","98.28","81.65","59.75","38.59","29.09","24.01","19.52","16.11","12.73","10.21","9.45"
"Colombia","404.72","329.51","349.89","370.36","351.84","314.42","331.92","413.19","405.09","381.59","368.45","326.49","276.36","262.66","218.39","172.75","150.27","117.07","100.08","100.39","103.59","100.09"
"Comoros","14.64","19.54","12.50","11.62","9.56","7.79","6.17","8.93","10.53","11.80","14.61","5.21","5.34","6.30","7.30","7.35","7.67","8.48","8.18","7.31","3.64","5.64"
"Congo","39.44","34.88","25.82","16.84","20.21","23.60","26.27","34.30","34.84","30.74","22.24","24.54","14.11","31.31","13.02","11.75","7.82","6.27","5.65","4.34","9.02","5.97"
"Cook Islands","704.18","555.75","531.16","489.74","484.56","448.73","423.90","491.13","461.95","469.51","483.14","452.79","411.19","403.40","423.43","395.29","386.89","354.50","301.18","247.66","199.77","172.29"
"Costa Rica","664.39","684.37","663.62","653.15","627.59","638.46","636.43","584.44","579.99","548.79","520.93","473.07","375.72","346.55","280.49","237.86","197.95","191.54","190.74","184.70","167.29","160.82"
"Croatia","1164.08","895.08","848.12","844.81","747.84","696.66","661.19","764.23","756.92","851.29","928.32","939.50","983.65","1055.32","899.78","690.84","617.98","506.55","416.53","305.34","319.20","315.50"
"Cuba","","1079.69","901.84","863.54","874.46","881.96","890.13","779.91","622.71","521.46","619.34","552.81","620.79","555.00","513.89","331.64","281.74","186.11","181.09","172.25","161.29","151.61"
"Cyprus","2532.14","1774.17","1133.69","849.24","735.51","693.20","671.26","796.74","873.00","872.11","1002.42","935.63","895.44","896.84","731.30","631.34","566.51","531.35","503.29","395.19","327.19","308.28"
"Czechia","2153.12","1853.10","1526.63","1482.13","1281.97","1161.87","1103.96","1270.06","1274.33","1277.40","1393.72","1281.23","1195.38","1173.89","930.24","805.54","726.68","653.80","560.46","438.38","339.77","304.19"
"Democratic Republic of the Congo","3.74","3.41","3.14","2.70","1.87","2.51","3.19","2.60","2.22","2.20","1.33","1.29","0.90","0.93","0.68","0.56","0.46","0.35","0.39","0.18","0.23","0.77"
"Denmark","6290.11","5460.29","5071.81","5219.89","4898.05","4734.65","4660.91","5460.88","5350.15","5204.01","5403.98","5200.32","5254.76","5156.95","4577.49","4008.07","3720.54","3504.78","3026.66","2426.85","2170.75","2074.40"
