"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","62.90","61.20","57.03","54.48","50.51","46.71","47.08","43.97","40.57","39.19","38.36","36.80","31.48","30.14","25.58","22.22","19.83","18.11","15.33","14.52","",""
"Albania","277.77","236.06","208.35","198.39","170.37","156.59","146.43","174.67","160.54","152.72","164.47","153.15","135.39","135.20","105.04","81.82","75.03","66.77","53.06","40.17","36.25","33.76"
"Algeria","82.36","80.28","87.47","87.99","88.30","84.65","86.45","100.97","96.39","91.03","84.66","70.15","60.73","58.13","45.76","36.97","31.03","26.60","17.73","16.52","15.98","17.38"
"Andorra","911.37","895.23","868.09","925.70","806.30","773.11","754.37","894.72","907.90","920.10","1033.94","963.65","974.97","1062.57","1003.09","856.79","791.49","754.51","637.17","500.68","465.38","443.71"
"Angola","23.96","22.94","32.75","45.27","57.11","49.14","53.78","55.80","50.59","39.67","39.48","33.48","34.21","44.97","36.59","28.17","28.26","27.65","20.10","17.26","15.31","5.37"
"Antigua and Barbuda","302.65","329.10","332.75","338.48","344.15","358.61","315.52","335.87","321.28","327.76","307.01","299.59","273.58","339.03","345.29","310.85","282.69","249.90","245.42","231.11","233.29","217.02"
"Argentina","371.24","319.87","398.40","500.07","524.61","431.91","503.30","436.02","508.87","504.65","470.18","399.22","310.77","326.70","258.80","213.53","185.23","130.02","117.30","96.80","301.76","318.90"
"Armenia","498.50","439.27","475.84","379.86","357.99","299.12","307.88","342.15","334.78","265.48","256.50","226.45","182.18","186.09","98.44","75.66","59.49","51.69","50.95","44.68","16.70","16.32"
"Australia","1690.51","1568.30","1456.42","1670.95","1671.10","1575.99","1542.16","1832.27","1885.71","1746.53","1580.09","1375.36","1082.80","1136.41","1033.72","904.99","848.85","781.67","642.17","494.93","450.66","460.91"
"Austria","1414.85","1294.88","1321.94","1362.45","1293.73","1301.83","1270.56","1482.32","1457.04","1347.11","1411.38","1325.23","1338.38","1325.76","1218.27","1054.22","1014.73","1004.53","830.36","663.48","601.55","586.27"
"Azerbaijan","169.41","145.54","145.97","135.71","123.53","122.85","161.53","187.09","164.71","146.00","113.57","91.41","77.73","62.86","39.09","27.95","20.18","17.75","16.17","14.67","13.33","13.02"
"Bahamas","858.76","710.89","906.18","946.95","921.13","865.24","858.26","866.92","824.71","834.72","777.68","772.76","752.26","797.50","791.68","756.06","685.51","636.72","620.78","606.39","589.02","565.09"
"Bahrain","390.65","409.40","427.44","431.87","473.74","429.39","396.85","393.48","386.91","357.20","318.13","301.50","284.80","258.13","245.99","181.27","173.81","180.27","188.21","135.57","124.19","122.84"
"Bangladesh","43.73","38.78","35.58","32.75","30.74","29.25","25.19","22.16","19.72","16.95","16.53","14.90","12.87","11.31","10.01","8.56","7.98","7.32","6.78","6.16","5.77","5.52"
"Barbados","633.01","617.52","635.82","625.58","628.02","619.63","596.89","596.85","584.43","575.08","565.69","494.34","489.16","472.63","454.40","433.36","399.30","369.75","336.25","303.45","297.07","296.76"
"Belarus","119.52","117.60","115.04","100.03","99.07","83.21","137.05","162.52","163.95","120.14","112.73","104.81","98.84","115.52","80.49","61.09","48.53","31.88","25.23","22.87","18.05","11.75"
"Belgium","1272.62","1127.78","1250.83","1211.40","1112.96","1055.10","1049.15","1213.05","1189.87","1107.45","1174.27","1076.25","1099.29","1128.51","1049.41","901.16","858.24","828.29","728.58","547.80","463.74","471.16"
"Belize","87.84","74.13","85.82","83.74","82.55","83.74","84.16","84.43","82.76","77.38","75.20","74.36","73.32","77.38","75.64","73.32","74.40","75.10","74.97","73.29","69.47","65.22"
"Benin","19.54","18.01","17.09","17.92","16.93","16.35","16.65","18.02","16.83","16.12","15.11","13.84","13.94","13.99","14.45","13.50","12.99","13.20","12.02","9.66","8.80","8.80"
"Bhutan","24.71","22.54","22.45","14.64","14.80","20.69","19.95","19.39","18.42","18.16","13.01","12.19","10.13","9.10","9.36","8.10","7.97","7.64","7.23","6.72","3.77","3.80"
"Bolivia (Plurinational State of)","72.21","61.34","66.43","58.95","62.09","65.77","60.79","61.85","60.37","51.90","44.06","37.64","31.21","27.53","23.05","21.38","19.70","17.89","17.65","17.35","17.71","16.50"
"Bosnia and Herzegovina","214.60","171.61","161.75","156.81","138.53","129.94","125.13","143.63","139.07","130.93","135.80","123.57","127.00","201.90","161.31","126.72","109.28","94.87","54.82","45.71","43.64","44.75"
"Botswana","83.21","75.11","77.71","96.02","65.48","102.86","90.32","97.36","113.92","125.39","140.25","141.40","134.49","79.69","83.98","80.40","93.21","93.41","81.63","60.63","61.03","61.67"
"Brazil","413.57","390.40","502.72","507.81","545.49","452.59","443.40","565.66","541.83","538.97","567.11","489.19","400.63","396.31","344.96","275.67","223.61","167.21","142.54","140.76","157.50","180.30"
"Brunei Darussalam","46.78","38.45","37.73","36.62","34.63","33.96","36.43","57.62","78.49","76.75","72.86","65.14","69.26","78.65","88.94","95.51","105.08","104.42","91.08","77.51","77.95","80.33"
"Bulgaria","380.70","326.67","285.05","292.27","281.43","252.30","229.96","252.76","237.80","274.85","254.93","216.98","212.18","203.17","159.85","130.35","108.24","94.58","76.90","60.24","52.65","38.23"
"Burkina Faso","22.27","20.80","17.41","16.50","16.67","14.45","15.23","16.83","17.60","13.06","12.99","11.06","11.27","9.84","8.00","6.79","5.89","5.64","4.24","3.60","3.52","3.40"
"Burundi","6.99","6.30","5.40","5.54","6.15","5.83","6.11","6.20","4.76","5.10","6.49","7.38","6.96","6.75","6.73","6.02","4.69","3.69","3.18","3.48","3.68","3.74"
"Cote d'Ivoire","42.32","42.33","41.83","41.63","39.96","39.43","38.72","52.10","51.29","50.27","54.06","54.80","54.44","57.08","50.79","48.77","51.60","55.12","53.58","47.75","45.70","45.10"
